19:35:25.949 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:35:25.960 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:35:31.467 [FirstTest@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/sjmncnkck3czifgtkrxk4yvppwcfd5rawlq5bdxh to view build report, insights, and many more debugging information all at one place!

19:37:22.035 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:37:22.046 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:37:27.712 [FirstTest@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/gkpz54cbpnbv609tiryf0s9liwhobj60nzavqhac to view build report, insights, and many more debugging information all at one place!

19:38:06.450 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:38:06.461 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:40:27.845 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:40:27.859 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:40:56.160 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
19:40:56.174 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
19:41:01.403 [FirstTest@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/l42gzy6nfwldbqykzbobjkfo2j4xicnli5lnyevu to view build report, insights, and many more debugging information all at one place!

20:35:06.842 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
20:35:06.855 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
20:35:53.910 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/kpbi5y3r2yr0kzpyguprpkmmc3khtc7anwa9n5cs to view build report, insights, and many more debugging information all at one place!

15:05:30.489 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:05:30.492 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
15:06:16.690 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/klyr9fsmdpigo5lvbtykxxbcsqyz2ojf69dvxpql to view build report, insights, and many more debugging information all at one place!

15:09:26.149 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:09:26.152 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
15:10:14.486 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/xcfeqpnfw1ohzjt57eaj5cdfue4pnhfmhxjbmiek to view build report, insights, and many more debugging information all at one place!

16:42:36.536 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
16:42:36.540 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
16:42:44.858 [main] INFO  c.b.config.BrowserStackConfig - ERROR
16:43:35.550 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
16:43:35.553 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
16:43:38.990 [main] INFO  c.b.config.BrowserStackConfig - ERROR
16:44:08.298 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
16:44:08.302 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
16:44:11.874 [main] INFO  c.b.config.BrowserStackConfig - ERROR
16:44:51.819 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
16:44:51.822 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
16:44:55.551 [main] INFO  c.b.config.BrowserStackConfig - ERROR
16:46:25.373 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
16:46:25.378 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
